cbsa,city_msa,state,real_estate_score,landlord_score,electricity_score,financial_score,co2_e_score,health_impact_score,climate_risk_score,equity_scenario_score,client_FINAL_score
12060,Atlanta,GA,0.29102,1,1,0.25424,0.81498,0.51294,0.68812,0.61124,0.62146
12260,Augusta,GA,0.27948,1,1,0.2595,0.81994,0.40259,0.60112,0.57273,0.57681
16700,Charleston,SC,0.35165,0.71429,1,0.54763,0.81754,0.4299,0.45379,0.58631,0.52766
16740,Charlotte,NC,0.30618,0.32857,1,0.09527,0.81388,0.49246,0.68661,0.59405,0.55887
16860,Chattanooga,TN,0.34126,0.2,0.01945,0.10754,0.00989,0,0.56872,0.2019,0.37367
17820,Colorado Springs,CO,0.29677,0.42857,1,0.10871,0.86542,0.03079,0.16813,0.41094,0.31002
17900,Columbia,SC,0.16951,0.71429,1,0.52659,0.81512,0.45723,0.65392,0.59964,0.59245
19780,Des Moines,IA,0.24273,0.72857,1,0.29749,0.99611,1,0.71781,0.73062,0.62605
22180,Fayetteville,NC,0.21156,0.32857,1,0.22794,0.81926,0.47758,0.64966,0.58065,0.53833
22220,Fayetteville,AR,0.48287,0.72857,1,0.06663,0.93457,0.62899,0.6801,0.6677,0.62072
24860,Greenville,SC,0.29498,0.71429,1,0.01812,0.8189,0.42627,0.72022,0.58141,0.59252
26620,Huntsville,AL,0.48225,0.4,0.05081,0.15663,0.04441,0.02344,0.75921,0.28903,0.5183
26900,Indianapolis,IN,0.2762,0.42857,0,0.02513,0.01362,0.13522,0.52951,0.1943,0.34819
28940,Knoxville,TN,0.4678,0.2,0.01629,0.08241,0.00657,0.00109,0.70588,0.25145,0.46181
29460,Lakeland,FL,0.73101,0.82857,1,0.40912,0.99668,0.60261,0.34937,0.68117,0.54904
32580,McAllen,TX,0.40333,0.82857,0.18317,0.3197,0.17041,0.01355,0.10392,0.18776,0.24248
34820,Myrtle Beach,SC,0.7751,0.71429,1,0.36119,0.81836,0.36583,0.42119,0.62598,0.56713
34980,Nashville,TN,0.33124,0.2,0.00671,0.0789,0,0.01172,0.36621,0.15101,0.26588
35840,Sarasota,FL,0.6193,0.82857,1,0.44652,0.99436,0.56204,0.47663,0.68546,0.59651
36420,Oklahoma City,OK,0.1883,0.71429,1,0.20514,0.98411,0.63922,0.25301,0.54572,0.37185
37340,Palm Bay,FL,0.43447,0.82857,1,0.44477,0.99426,0.45191,0.31458,0.59762,0.48202
37860,Pensacola,FL,0.34313,0.82857,1,0.44477,0.99648,0.40704,0.39666,0.59203,0.50677
38860,Portland,ME,0.32186,-999,0.90378,1,0.50684,0.39819,0.86289,0.63829,-69.23188
38940,Port St. Lucie,FL,0.53581,0.82857,1,0.38399,1,0.42909,0,0.53779,0.33669
39580,Raleigh,NC,0.40809,0.32857,1,0.10053,0.77639,0.45624,0.81064,0.62692,0.63718
40060,Richmond,VA,0.25786,0.1,1,0.1315,0.7734,0.58662,1,0.66624,0.69202
41700,San Antonio,TX,0.3497,0.82857,0.08792,0.14494,0.08913,0.01582,0.05311,0.12106,0.17584
44060,Spokane,WA,0.47012,0.2,1,0,0.82987,0.38183,0.80666,0.62467,0.63004
49180,Winston,NC,0.26687,0.32857,1,0.12157,0.77598,0.42479,0.67641,0.56865,0.54693