Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LAUMT237675000000006,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,
Area:,"Portland-South Portland, ME Metropolitan NECTA",,,,,,,,,,,,
Area Type:,Metropolitan areas,,,,,,,,,,,,
State/Region/Division:,Maine,,,,,,,,,,,,
Years:,2021 to 2022,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2021,202601,202538,203019,204019,203729,207448,210320,209985,206607,207029,204941,203248,205457
2022,201039,203134,203075,201513,203750,209025,209496,209644,,,,,